Parent Category ID,Parent Category,Parent Alias,Child Category ID,Child Category,Child Alias
479,Барчаси таъмирлаш ва қурилиш учун,vse-dlya-remonta-i-stroitelstva,1066,Генераторлар,generatory
196,Канцелярия товарлари,kantselyarskie-tovary,209,Handmade,handmade
196,Канцелярия товарлари,kantselyarskie-tovary,211,Ўқув қуроллари,shkolnye-tovary
196,Канцелярия товарлари,kantselyarskie-tovary,212,Офис учун буюмлар,ofisnye-prinadlezhnosti
196,Канцелярия товарлари,kantselyarskie-tovary,567,Ёзиш учун,pismennye-prinadlezhnosti
196,Канцелярия товарлари,kantselyarskie-tovary,583,Қоғоз маҳсулотлари,bumazhnaya-produktsiya
196,Канцелярия товарлари,kantselyarskie-tovary,617,Папкалар ва файллар,papki-i-fayly
196,Канцелярия товарлари,kantselyarskie-tovary,622,Мухр ва штамплар,pechati-i-shtampy
196,Канцелярия товарлари,kantselyarskie-tovary,630,Барчаси чизиш учун,vse-dlya-risovaniya
196,Канцелярия товарлари,kantselyarskie-tovary,894,Мактаб тўпламлари,shkolnye-nabory
196,Канцелярия товарлари,kantselyarskie-tovary,1049,Фотоальбом ва рамкалар,fotoalbomy
470,Электротранспорт,elektrotransport,471,Электроскутер,elektroskuter
470,Электротранспорт,elektrotransport,472,Электрокар,elektrokar
470,Электротранспорт,elektrotransport,713,Электр самокатлар,elektrosamokaty
542,Совғалар ва сувенирлар,podarki-i-suveniry,543,Эркаклар учун совғалар,podarki-dlya-muzhchin
542,Совғалар ва сувенирлар,podarki-i-suveniry,544,Аёллар учун совғалар,podarki-dlya-zhenshchin
542,Совғалар ва сувенирлар,podarki-i-suveniry,545,Болалар учун совғалар,podarki-dlya-detey
542,Совғалар ва сувенирлар,podarki-i-suveniry,546,Оилавий совғалар,semeynye-podarki
542,Совғалар ва сувенирлар,podarki-i-suveniry,547,Совға тўпламлари,podarochnye-nabory-2
542,Совғалар ва сувенирлар,podarki-i-suveniry,548,Диний ва исломий совғалар,religioznye-i-islamskie-podarki
542,Совғалар ва сувенирлар,podarki-i-suveniry,549,Ёритгичлар,svetilniki
